id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city_zone
32671256,ณณา เพลส,214589203,Chairoj,Chatu Chak,13.82505,100.57346,Private room,600.0,1,0,0.0,2,364,0,Inner Zone
32673808,Provide Shortlong period room rental service,118495264,Prinya,Bang Kapi,13.76268,100.64147,Private room,350.0,30,1,0.02,1,0,0,Middle Zone
32853421,1 Modern Apartment near Chatuchak Weekend Market,60194145,Ake,Bang Sue,13.82042,100.53079,Entire home/apt,900.0,1,64,1.38,3,186,6,Inner Zone
32854199,AMAZING 5Star 90 sqm Duplex in the Heart of City,11695903,Dan,Khlong Toei,13.7224,100.56752,Entire home/apt,12209.0,31,36,0.78,4,364,15,Inner Zone
32675848,精品一居室每客一消毒曼谷市中心交通便利近四面佛中央商场送签证攻略,51192901,Dylan,Ratchathewi,13.74941,100.5565,Entire home/apt,1284.0,10,24,0.51,14,0,0,Inner Zone
32676637,60 SQM Private 1 Bed suite fully equipped,37840126,Eddie,Vadhana,13.74079,100.56011,Hotel room,7500.0,1,0,0.0,2,365,0,Inner Zone
32389722,Spacious 1 Bed room with kitchenette,37840126,Eddie,Vadhana,13.7296,100.57281,Hotel room,5000.0,1,0,0.0,2,365,0,Inner Zone
32677945,Everyday Sukhumvit 1113,24732047,EveRyDaY Is A HoLidAy,Vadhana,13.74425,100.55859,Entire home/apt,1490.0,30,46,0.99,6,331,5,Inner Zone
32679414,Luxury condoSuperb skyline viewbkce41,128943709,Rain,Vadhana,13.73918,100.59017,Entire home/apt,2100.0,21,0,0.0,26,134,0,Inner Zone
32679720,Triple room for 3 Pax near Don Mueang Airport,165814945,Dutsada,Lak Si,13.8938,100.5641,Hotel room,600.0,1,1,0.23,5,179,1,Outer Zone
32679883,3 bedroom near immigration office chaengwattana,165814945,Dutsada,Lak Si,13.89194,100.56233,Private room,590.0,1,0,0.0,5,365,0,Outer Zone
32680232,简约一居无边泳池市中心近火车夜市四面佛素坤逸娜娜康明医院机场线天铁地铁站旁中文房东,51192901,Dylan,Ratchathewi,13.75128,100.55473,Entire home/apt,3234.0,28,16,0.34,14,0,1,Inner Zone
32683658,New Large RenovPool Table 3BR6PxSoi 11BTS NANA,37194944,Darren,Vadhana,13.74419,100.55698,Entire home/apt,7214.0,1,70,1.51,8,319,29,Inner Zone
32684505,Rodeo House BKK,245755494,Sira,Sai Mai,13.89279,100.68752,Private room,2333.0,1,7,0.15,1,180,0,Middle Zone
32389759,Eat Street Food on Charoenkrung Rd near the Pier,67973902,Morphy,Sathon,13.71138,100.52,Entire home/apt,1185.0,30,38,0.89,3,63,0,Inner Zone
32857140,Silvios Bistro,41512313,Silvio,Bang Rak,13.7192,100.51692,Private room,900.0,1,0,0.0,3,0,0,Inner Zone
32857553,City Center Designer 2 Bdrm Near to Nana and Asok,133849226,Aidan,Ratchathewi,13.74936,100.55542,Entire home/apt,1393.0,30,77,1.67,20,129,1,Inner Zone
32858411,Silvios Bistro,41512313,Silvio,Bang Rak,13.7192,100.51692,Private room,700.0,1,0,0.0,3,0,0,Inner Zone
32861787,Whole House4Bedrooms Experience Local Life,175446488,Ohm,Bangkok Yai,13.74663,100.48526,Entire home/apt,2551.0,1,54,1.18,4,307,18,Inner Zone
32862414,FreeAirportPickup Romantic in ASOKE L MRTBTS,15699117,Pk,Vadhana,13.73869,100.56152,Entire home/apt,3686.0,4,0,0.0,8,297,0,Inner Zone
